"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1985 <= Year >= 2024""]"																																						
	1987	9	22	13	43	37.6			"ECUADOR:  AMBATO, LATACUNGA, RIOBAMBA"	-0.978	-78.05	10	6.2		2	1			12	1		2		3			2	1			12	1		2		3		
	1987	10	1	14	42	20			"CALIFORNIA:  WHITTIER"	34.061	-118.078	10	5.7	8	8	1			200	3	358	4					8	1			200	3	358	4				
	1987	10	2	22	27	55.8			"PERU:  SANTAOG DE CHUCO, TRUJILLO, CHIMBOTE"	-8.143	-77.954	20	5.1	4	3	1						2		3			3	1						3		3		
	1987	10	4	10	59	38.1			"CALIFORNIA:  WHITTIER, PASADENA"	34.07	-118.1	8	4.8		1	1				2		2					1	1				2		2				
	1987	10	6	4	19	6	2174		"TONGA ISLANDS"	-17.94	-172.225	16	7.3																									
	1987	10	12	13	57	4.7	2175		"PAPUA NEW GUINEA:  SOLOMON SEA"	-7.288	154.371	25	6.8																									
	1987	10	16	20	48	1.6	2176		"PAPUA NEW GUINEA:  NEW BRITAIN:  KANDRIAN, KIMBTE"	-6.266	149.06	48	7.7	8								2												2				
	1987	11	17	8	46	53.3	2177		"ALASKA:  GULF OF ALASKA"	58.586	-143.27	10	7.2																									
	1987	11	24	1	54	14.5			"CALIFORNIA:  SUPERSTITION HILLS"	33.082	-115.775	5	6.2	6	2	1					3	2					2	1					3	2				
	1987	11	26	1	43	14	2178	4663	"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG"	-8.247	124.155	33	6.5		125	3			108	3	5	2	237	3			125	3			108	3	5	2	237	3		
	1987	11	30	19	23	19.5	2179		"ALASKA:  YAKUTAT"	58.679	-142.786	10	7.9	6								1												1				
	1987	12	17	2	8	19.9			"JAPAN:  HONSHU:  CHIBA PERFECTURE, TOKYO"	35.362	140.214	63	6	8	2	1			66		5	2					2	1			66	2	5	2				
	1988	1	3	21	32	25.3			"CHINA:  LINGWU"	38.111	106.336	14	5.5						60	2		3	10000	4							60	2		3	10000	4		
	1988	1	9	1	2	46.7			"ALBANIA:  TIRANA, ULCINJ-BAR"	41.246	19.63	24	5.8	7								2																
	1988	1	22	0	35	58			"AUSTRALIA:  TENNANT CREEK"	-19.847	133.803	5	6.3									2																
	1988	1	22	12	4	57.8			"AUSTRALIA:  TENNANT CREEK"	-19.829	133.882	5	6.7	9								2																
	1988	2	5	14	1	2.7	2180		"CHILE:  TALTAL"	-24.753	-70.433	37	6.7									1												1				
	1988	2	6	14	50	45.2			"BANGLADESH:  SYLHET; INDIA:  TIPURA-ASSAM"	24.688	91.57	33	5.8		2	1			100	2		2					2	1			100	2		2				
