,date,location,latitude,longitude,depth_km,earthquake_magnitude,tsunami_event_id,runup_count,max_water_height_m,min_source_dist_km,max_source_dist_km,unique_countries_count,countries
115,1994-06-05 01:45:02.700,INDONESIA:  JAVA,-10.341,113.369,17.0,6.1,2593,1,3.0,228.71919704887213,228.71919704887213,1,INDONESIA
116,2004-11-21 11:41:07.700,"GUADELOUPE:  BASSE-TERRE, LES SAINTES",15.679,-61.706,14.0,6.3,2693,2,2.0,21.752912533872458,23.94092735185075,1,GUADELOUPE (FRENCH TERRITORY)
117,2006-05-03 15:26:40.200,TONGA ISLANDS,-20.187,-174.123,55.0,7.9,2749,40,0.27,152.48198902147178,10368.616390950516,16,"USA TERRITORY, NIUE, TONGA, SAMOA, COOK ISLANDS, FIJI, FRENCH POLYNESIA, VANUATU, NEW CALEDONIA, NEW ZEALAND, USA, JAPAN, CANADA, COSTA RICA, MEXICO, AUSTRALIA"
118,2006-07-17 08:19:26.000,INDONESIA:  JAVA,-9.284,107.419,20.0,7.7,2832,182,20.9,181.21782147811695,5727.11043709753,5,"INDONESIA, AUSTRALIA, MALDIVES, MAURITIUS, REUNION (FRENCH TERRITORY)"
119,2006-03-14 06:57:33.800,INDONESIA:  SERAM,-3.595,127.214,30.0,6.7,2875,1,3.5,34.99387516026935,34.99387516026935,1,INDONESIA
120,2004-11-28 18:32:14.100,"JAPAN:  HOKKAIDO:  BEKKAI, KUSHIRO, NEMOURO",43.006,145.119,39.0,7.0,2921,2,0.12,47.40095960345668,61.062382357735984,1,JAPAN
121,2000-04-05 04:36:58.800,GREECE:  CRETE,34.22,25.69,38.0,5.5,2922,1,0.5,132.62440880839154,132.62440880839154,1,GREECE
122,2003-08-21 12:12:49.700,"NEW ZEALAND:  DUNEDIN,INVERCARGILL,TE ANAU,FIORDLAND",-45.104,167.144,28.0,7.2,2953,3,4.0,4.0285847306871165,1817.6265261774347,2,"NEW ZEALAND, AUSTRALIA"
123,2006-09-28 06:22:09.700,SAMOA ISLANDS,-16.592,-172.033,28.0,6.9,2972,1,0.08,294.01820332753823,294.01820332753823,1,USA TERRITORY
124,2004-11-02 10:02:12.800,CANADA:  VANCOUVER ISLAND,49.277,-128.772,10.0,6.6,3012,2,0.06,208.73968142337353,270.1163015369549,1,CANADA
125,2004-11-11 21:26:41.100,INDONESIA:  KEPULAUAN ALOR,-8.152,124.868,10.0,7.5,3013,2,2.0,53.104570422152065,88.97424785109142,2,"INDONESIA, EAST TIMOR"
